state_name,county_name,births_2019
California,Los Angeles County,112963
Texas,Harris County,66937
Illinois,Cook County,61822
Arizona,Maricopa County,52722
California,San Diego County,40603
Texas,Dallas County,38374
New York,Kings County,37786
California,Orange County,36406
Florida,Miami-Dade County,30789
California,Riverside County,29482
California,San Bernardino County,29341
Texas,Tarrant County,27512
New York,Queens County,27453
Nevada,Clark County,27048
Texas,Bexar County,26736
Washington,King County,25188
Michigan,Wayne County,22766
Florida,Broward County,21829
California,Santa Clara County,21713
Pennsylvania,Philadelphia County,20924
